Position(bp)  Rate(cM/Mb)     Map(cM)
     3001266    14.463942    1.215632
     3002219     1.091570    1.229416
     3002687     0.897692    1.229927
     3004643     0.849538    1.231683
     3005242     0.838057    1.232191
     3007480     0.838363    1.234067
     3008360    23.114912    1.234805
     3010500    27.904960    1.284271
     3012405    15.300890    1.337430
     3013032     0.366410    1.347023
     3017070     0.366417    1.348503
     3019114     0.366425    1.349252
     3019465     0.366425    1.349380
     3019874     0.366425    1.349530
     3020176     0.366425    1.349641
     3020298     0.366440    1.349686
     3020349     1.258843    1.349704
     3021798     1.258842    1.351528
     3023307     1.258828    1.353428
     3023365     1.258829    1.353501
     3025174     1.258885    1.355778
     3025588     1.258877    1.356299
     3028260     1.259125    1.359663
     3028289     1.259698    1.359700
     3028385     1.745213    1.359821
     3028405     2.040263    1.359855
     3028627     9.478781    1.360308
     3029118     9.478944    1.364962
     3029349     9.478944    1.367152
     3029385     9.534028    1.367493
     3029481    18.245415    1.368409
     3030005    18.245415    1.377969
     3030403    18.284007    1.385231
     3030426    18.314706    1.385651
     3030877    18.314706    1.393911
     3032568    15.418234    1.424882
     3032881     2.567422    1.429707
     3033484     2.555462    1.431256
     3036236     2.829861    1.438288
     3036887     6.152703    1.440130
     3045865     6.078305    1.495369
     3049468     5.989016    1.517270
     3065036     4.116262    1.610507
     3065504     4.103633    1.612433
     3066125     4.103393    1.614981
     3066141     4.103308    1.615047
     3066505     0.328060    1.616541
     3069392     0.328089    1.617488
     3070182     0.327791    1.617747
     3073671     0.327840    1.618891
     3076918     0.327964    1.619955
     3082346     0.329985    1.621735
     3084776     0.332182    1.622537
     3084785     0.332246    1.622540
     3085464     0.354881    1.622766
     3086394     3.040167    1.623096
     3094306     4.004340    1.647150
     3103318     3.982405    1.683237
     3104226     3.982405    1.686853
     3106679     3.972672    1.696621
     3108751     3.972689    1.704853
     3110330     3.972550    1.711126
     3111078     3.440956    1.714097
     3113264     2.275811    1.721619
     3116788     0.925491    1.729639
     3117688     0.730447    1.730472
     3120392     0.731453    1.732447
     3120780     0.738604    1.732731
     3121402     0.738421    1.733190
     3124461     0.735903    1.735449
     3125887     8.360604    1.736499
     3126343     8.523351    1.740311
     3126942    10.646238    1.745417
     3127231    10.646238    1.748493
     3127322    10.890812    1.749462
     3127428    10.365493    1.750617
     3127482     9.249537    1.751176
     3127835     1.362411    1.754441
     3129145     6.440592    1.756226
     3129285     0.823127    1.757128
     3129496     0.821321    1.757301
     3129641     0.404312    1.757421
     3129753     0.216647    1.757466
     3130623     0.216525    1.757654
     3130800     0.216124    1.757693
     3131208     0.220418    1.757781
     3131338     0.222308    1.757809
     3131811     0.228429    1.757915
     3133209     0.247755    1.758234
     3133488     0.292463    1.758303
     3133733     3.985510    1.758375
     3133960     0.266164    1.759279
     3134614     0.265236    1.759454
     3135294     0.248418    1.759634
     3135867     0.232175    1.759776
     3135998     0.221702    1.759807
     3136154     0.213269    1.759841
     3136436     0.206618    1.759901
     3137404     0.479517    1.760101
     3137450     2.062881    1.760123
     3137584     6.775194    1.760400
     3137691     7.354769    1.761125
     3137828     7.549970    1.762132
     3138359     0.586134    1.766141
     3138907     0.583586    1.766463
     3138962     0.581205    1.766495
     3139063     0.578908    1.766553
     3139954     0.582467    1.767069
     3140315     0.584467    1.767280
     3140718     0.585738    1.767515
     3140913     0.588480    1.767629
     3140928     0.591237    1.767638
     3140992     0.594842    1.767676
     3141584     0.688343    1.768028
     3142180     0.728878    1.768438
     3142375     7.375088    1.768580
     3142483    14.962125    1.769377
     3142515    24.585074    1.769856
     3143398    37.027965    1.791564
     3143656    41.161482    1.801118
     3144011    38.842207    1.815730
     3144761    16.874893    1.844862
     3144809     0.372733    1.845672
     3145565     0.365660    1.845953
     3145824     0.365611    1.846048
     3147735     0.397634    1.846747
     3148088     0.412374    1.846887
     3148320     0.437379    1.846983
     3149048     0.642647    1.847301
     3149858    10.888938    1.847822
     3150071    22.711090    1.850141
     3150749    22.788877    1.865539
     3150781     1.942429    1.866268
     3151086     1.257306    1.866861
     3151119     0.973147    1.866902
     3151411     0.952294    1.867187
     3153082     0.158603    1.868778
     3153474     0.076738    1.868840
     3155141     0.078371    1.868968
     3156087     0.316739    1.869042
     3158123     0.235753    1.869687
     3158403     0.080791    1.869753
     3160250     1.920293    1.869902
     3160398     1.974597    1.870186
     3160538     1.994681    1.870463
     3160985     2.058721    1.871354
     3161028     2.058721    1.871443
     3161121     2.085795    1.871634
     3161393     0.381471    1.872202
     3163043     0.384272    1.872831
     3165068     0.475290    1.873609
     3165645     0.756307    1.873884
     3167032     1.926714    1.874933
     3167102     4.550944    1.875067
     3168396     0.614082    1.880956
     3169689     0.474783    1.881750
     3170890     0.472645    1.882321
     3172640     0.508895    1.883148
     3173161     0.910355    1.883413
     3173381     3.185103    1.883613
     3173539     4.461869    1.884116
     3173910     4.460524    1.885772
     3174005     4.458660    1.886196
     3174323     4.468533    1.887613
     3174698    36.657857    1.889289
     3176492    44.813567    1.955053
     3176513    23.910913    1.955994
     3177418     1.061854    1.977634
     3178429     0.509375    1.978707
     3181446     0.240836    1.980244
     3183417     0.239674    1.980719
     3183507     0.239732    1.980740
     3184216     3.317905    1.980910
     3184483     0.111190    1.981796
     3185877     0.131473    1.981951
     3186492     0.171346    1.982032
     3186652     0.169932    1.982059
     3189936     0.169932    1.982617
     3190004     0.169911    1.982629
     3190297     0.169886    1.982679
     3194131     3.140987    1.983330
     3194330     0.110192    1.983955
     3194452     0.016405    1.983969
     3196030     0.016566    1.983995
     3196556     0.016900    1.984003
     3198787     0.017242    1.984041
     3198945     0.017376    1.984044
     3199433     0.017396    1.984052
     3200134     0.017655    1.984064
     3206348     0.829430    1.984174
     3208112     0.623977    1.985637
     3208337     4.461425    1.985778
     3209019     5.146834    1.988820
     3212823     0.588150    2.008399
     3213911     0.001486    2.009039
     3214966     0.001486    2.009040
     3215825     0.001479    2.009042
     3215960     0.001479    2.009042
     3216117     0.001479    2.009042
     3216222     0.001477    2.009042
     3216284     0.001477    2.009042
     3216326     0.001477    2.009042
     3216381     0.001477    2.009042
     3216565     0.001477    2.009043
     3216723     0.001477    2.009043
     3216908     0.001477    2.009043
     3217179     0.001477    2.009044
     3218352     0.001477    2.009045
     3218608     0.001477    2.009046
     3218814     0.001477    2.009046
     3219041     0.001477    2.009046
     3219129     0.001477    2.009046
     3219343     0.001477    2.009047
     3219537     0.001477    2.009047
     3219805     0.001477    2.009047
     3219946     0.001477    2.009048
     3220671     0.001477    2.009049
     3220719     0.001487    2.009049
     3220743     0.001487    2.009049
     3220921     0.001487    2.009049
     3221057     0.017408    2.009049
     3221138     1.224278    2.009051
     3221241     1.224278    2.009177
     3221824     0.010130    2.009891
     3222292     0.010130    2.009895
     3223156     0.010197    2.009904
     3223725     0.010263    2.009910
     3223886     4.328426    2.009912
     3224257     0.846299    2.011517
     3224460     0.822738    2.011689
     3224630     0.880255    2.011829
     3225208     0.880623    2.012338
     3225267     0.880660    2.012390
     3225726     0.880665    2.012794
     3225797     0.690591    2.012857
     3225959     0.531533    2.012968
     3225999     0.414378    2.012990
     3226028     0.324445    2.013002
     3226138     0.302692    2.013037
     3226534     0.303827    2.013157
     3226553     0.312121    2.013163
     3226691     0.316279    2.013206
     3228096     1.340641    2.013650
     3230034     0.464317    2.016249
     3231850     0.580584    2.017092
     3232104     0.693385    2.017239
     3233112     1.079398    2.017938
     3233854     1.106240    2.018739
     3235093     1.106265    2.020110
     3235724     1.087133    2.020808
     3237039     1.017530    2.022237
     3237114     0.919874    2.022314
     3237584     0.851034    2.022746
     3237651     0.797206    2.022803
     3238733     0.804880    2.023666
     3239276     0.811313    2.024103
     3240343     0.811316    2.024968
     3241050     0.804285    2.025542
     3241256     1.004089    2.025708
     3241284     1.922425    2.025736
     3241317     2.985933    2.025799
     3241436     2.984420    2.026155
     3241791     0.909722    2.027214
     3245204     0.857234    2.030319
     3251462     0.174982    2.035683
     3254607     0.227280    2.036234
     3258105     1.007792    2.037029
     3261139     1.007921    2.040086
     3262570     0.565961    2.041529
     3267051     0.566890    2.044065
     3268061     0.566951    2.044637
     3271849     1.311176    2.046785
     3276006     0.999310    2.052236
     3276218     0.822962    2.052447
     3279029     0.548384    2.054761
     3279941     0.449920    2.055261
     3280938     0.447347    2.055709
     3282400     0.428508    2.056363
     3283159     0.416123    2.056689
     3285674     0.415158    2.057735
     3286951     0.416610    2.058265
     3288657     5.509265    2.058976
     3289332     0.119239    2.062695
     3290316     0.903976    2.062812
     3290641     0.853490    2.063106
     3291008     0.099609    2.063419
     3291224     0.052030    2.063441
     3291287     0.028952    2.063444
     3291807     0.028670    2.063459
     3292166     0.028670    2.063469
     3292225     0.028501    2.063471
     3292507     0.028468    2.063479
     3292651     0.029046    2.063483
     3292721     0.029603    2.063485
     3292747     0.031899    2.063486
     3292812     0.047122    2.063488
     3292898     0.156844    2.063492
     3293025     0.891531    2.063512
     3294215     5.335807    2.064573
     3295054    11.233325    2.069050
     3295135    12.670704    2.069960
     3295195    27.259833    2.070720
     3296070    13.748366    2.094572
     3296294     4.041552    2.097652
     3296723     4.039525    2.099386
     3296857     0.722018    2.099927
     3297197     0.317872    2.100172
     3298221     0.317556    2.100498
     3298325     0.317652    2.100531
     3298820     0.313261    2.100688
     3298934     0.308552    2.100724
     3300959     0.298839    2.101349
     3302043     3.033560    2.101673
     3304763     0.266087    2.109924
     3307365     0.275908    2.110616
     3308214     0.295325    2.110851
     3309764     0.325139    2.111308
     3310338     0.339687    2.111495
     3310879     0.345967    2.111679
     3311441     0.349949    2.111873
     3311479     0.353846    2.111887
     3311721     0.354735    2.111972
     3312412     0.388049    2.112217
     3313459     0.465298    2.112624
     3313864     0.683624    2.112812
     3314094     0.994166    2.112969
     3316490     1.022598    2.115351
     3316851     1.582642    2.115720
     3318187     0.989386    2.117835
     3319447     0.796095    2.119081
     3321068     0.322102    2.120372
     3321428     0.311808    2.120488
     3322666     0.448016    2.120874
     3322902     0.511948    2.120980
     3323165     0.528126    2.121114
     3323236     0.548082    2.121152
     3324296     0.552216    2.121733
     3325021     2.061248    2.122133
     3325546     0.402703    2.123215
     3325613     0.084984    2.123242
     3327958     0.085222    2.123442
     3331024     0.090631    2.123703
     3332227     0.088334    2.123812
     3332960     0.095416    2.123877
     3333055     0.104575    2.123886
     3333951     0.081827    2.123979
     3334015     0.068870    2.123985
     3336470     0.182211    2.124154
     3336483     0.304928    2.124156
     3337598     0.378127    2.124496
     3337958     0.462012    2.124632
     3338346     0.490250    2.124811
     3338471     0.529440    2.124873
     3339313     1.703181    2.125318
     3339602     2.378352    2.125811
     3342554     1.265132    2.132832
     3342836     0.619539    2.133188
     3345545     0.779225    2.134867
     3348145     3.931918    2.136893
     3349262     4.028597    2.141285
     3351499     1.432773    2.150297
     3356270     1.429670    2.157132
     3356539     1.429531    2.157517
     3356648     1.426203    2.157673
     3359568     6.243942    2.161837
     3359854     7.178358    2.163623
     3360405     9.419588    2.167578
     3362519     9.848632    2.187491
     3362933     1.225722    2.191569
     3363821     0.436407    2.192657
     3364190     0.130484    2.192818
     3366261     0.126824    2.193088
     3366651     0.125819    2.193138
     3366680     0.125749    2.193141
     3367340     0.126480    2.193224
     3367443     0.126710    2.193237
     3369355     0.132198    2.193480
     3369880     0.142196    2.193549
     3372268     0.144609    2.193889
     3372781     0.238812    2.193963
     3372974     1.809747    2.194009
     3373214     1.069860    2.194443
     3373542     0.296020    2.194794
     3373749     0.257865    2.194856
     3374611     0.258862    2.195078
     3374640     0.259472    2.195085
     3376141     0.266352    2.195475
     3376304     0.273185    2.195518
     3378059     0.301588    2.195998
     3379159     0.364137    2.196329
     3379941     0.673856    2.196614
     3381343     1.061638    2.197559
     3381512     7.494855    2.197738
     3385655     7.494855    2.228789
     3385871     7.494855    2.230408
     3386226     7.482267    2.233069
     3386599     2.241604    2.235860
     3389419     1.591688    2.242181
     3389512     0.794127    2.242329
     3390052     0.777023    2.242758
     3390445     0.387773    2.243063
     3393567     0.180841    2.244274
     3394432     0.148327    2.244431
     3394743     0.132611    2.244477
     3395542     0.127819    2.244583
     3397110     0.121751    2.244783
     3400493     0.118685    2.245195
     3402531     0.116735    2.245437
     3402679     0.114769    2.245454
     3404092     0.113554    2.245616
     3409337     0.122452    2.246212
     3409977     0.121961    2.246290
     3410669     0.190627    2.246375
     3410828     0.267783    2.246405
     3413115     0.270863    2.247017
     3414710     0.278081    2.247449
     3415247     0.297701    2.247599
     3415710     0.340912    2.247737
     3416152     0.413982    2.247887
     3416335     0.413981    2.247963
     3416438     0.526421    2.248006
     3417253     0.586138    2.248435
     3417373     0.641803    2.248505
     3417545     0.721273    2.248615
     3419988     1.147008    2.250377
     3422129     8.387585    2.252833
     3423174     2.107554    2.261598
     3427071     2.033910    2.269811
     3430446     2.033690    2.276676
     3435399     0.374615    2.286749
     3435609     0.165253    2.286827
     3436093     0.125861    2.286907
     3438945     0.125989    2.287266
     3439586     0.125989    2.287347
     3441064     0.126242    2.287533
     3441118     0.126766    2.287540
     3441648     0.126959    2.287607
     3443776     0.126959    2.287877
     3445693     0.231141    2.288121
     3445846     0.342854    2.288156
     3446714     0.455154    2.288454
     3447160     0.546024    2.288657
     3447762     1.450361    2.288985
     3448380     1.208730    2.289882
     3449529    26.034287    2.291271
     3452272    25.410195    2.362683
     3453684     1.276195    2.398562
     3456100     1.154063    2.401645
     3456112     0.566515    2.401659
     3457060     0.559078    2.402196
     3457271     0.559298    2.402314
     3458348     0.564512    2.402916
     3458817     0.570994    2.403181
     3459334     0.600275    2.403476
     3459801     1.238128    2.403757
     3460089     1.566274    2.404113
     3461239     0.237534    2.405914
     3463531     0.183443    2.406459
     3464074     0.171294    2.406558
     3467263     0.204630    2.407105
     3467724     0.277396    2.407199
     3469043     1.476877    2.407565
     3479365     1.806666    2.422809
     3485585     1.786534    2.434047
     3486289     0.596907    2.435304
     3487750     0.596292    2.436177
     3489155     0.597692    2.437014
     3490787     0.607429    2.437990
     3491219     0.620431    2.438252
     3491330     0.636406    2.438321
     3492422     0.659368    2.439016
     3492813     0.685758    2.439274
     3495213     1.619258    2.440920
     3495529     1.891985    2.441431
     3496027     0.707640    2.442374
     3497086     0.698899    2.443123
     3498557     0.914722    2.444151
     3500998     0.925365    2.446384
     3501678     0.924713    2.447013
     3505453     0.975003    2.450504
     3510277     1.003123    2.455207
     3517751     1.463136    2.462705
     3517761     1.914267    2.462719
     3517936     2.845442    2.463054
     3518376     4.799190    2.464306
     3518477     6.603734    2.464791
     3519899     6.870518    2.474181
     3524309     7.432299    2.504480
     3530512     7.450423    2.550583
     3532875     7.469571    2.568188
     3537035     6.570135    2.599262
     3538577     6.569835    2.609393
     3538698     6.609082    2.610188
     3539070     6.623731    2.612646
     3539248     6.661773    2.613825
     3540527     7.112842    2.622346
     3542075     7.301924    2.633357
     3542110     9.216226    2.633612
     3553081     8.955164    2.734723
     3555302     8.843256    2.754613
     3555532     8.754802    2.756647
     3556334     8.685556    2.763668
     3561094     8.686466    2.805011
     3561596     6.560594    2.809372
     3569345     3.545825    2.860210
     3569359     0.930477    2.860260
     3571501     0.967746    2.862253
     3574538     1.192087    2.865192
     3574564     1.378455    2.865223
     3574797     1.421755    2.865544
     3575816     1.595843    2.866993
     3579588     1.634772    2.873012
     3579857     1.665103    2.873452
     3580302     1.725266    2.874193
     3581242     1.725795    2.875815
     3582703     1.702857    2.878336
     3584032     1.698485    2.880599
     3586406     1.715757    2.884631
     3586643     1.716862    2.885038
     3588580     1.722241    2.888364
     3591023     1.729078    2.892571
     3593356     1.741240    2.896605
     3593659     1.746881    2.897133
     3595577     1.737698    2.900483
     3595827     1.707055    2.900917
     3598141     1.625445    2.904868
     3598635     1.582905    2.905671
     3598694     1.531822    2.905764
     3599911     1.456570    2.907628
     3600178     1.350219    2.908017
     3600301     1.231140    2.908183
     3600632     1.113037    2.908591
     3601991     1.099677    2.910103
     3602531     1.094951    2.910697
     3603515     5.020745    2.911775
     3603716     5.102182    2.912784
     3603734     5.172612    2.912876
     3604421     5.174767    2.916429
     3605254     5.178321    2.920740
     3607389    16.153346    2.931795
     3608067    16.453051    2.942747
     3609070    16.453051    2.959250
     3612054    16.448467    3.008346
     3612081    16.448467    3.008790
     3618132    16.424187    3.108319
     3619524    16.299710    3.131182
     3623185    14.079847    3.190855
     3624687     8.621303    3.212003
     3625196     8.078650    3.216391
     3626929     8.086961    3.230392
     3628427     6.288390    3.242506
     3628842     3.706119    3.245116
     3631961     3.683186    3.256675
     3632387     3.659354    3.258244
     3635539     3.654847    3.269778
     3635555     3.653231    3.269837
     3641485     3.610956    3.291500
     3643270     3.364577    3.297946
     3646417     3.073203    3.308534
     3646485     2.804332    3.308743
     3648286     2.814510    3.313794
     3648354     2.825354    3.313985
     3649810     2.787338    3.318099
     3649902     2.751774    3.318355
     3653586     1.152299    3.328493
     3655887     0.910117    3.331144
     3655986     0.678956    3.331235
     3656805     0.629131    3.331791
     3656889     0.562810    3.331843
     3656966     0.538718    3.331887
     3657491     0.536931    3.332170
     3660106     0.616049    3.333574
     3660415     0.798040    3.333764
     3661295     0.797235    3.334466
     3664074    11.914422    3.336682
     3664639    12.520544    3.343413
     3665889    12.505461    3.359064
     3666059    12.340968    3.361190
     3666153    12.306526    3.362350
     3666734    11.474336    3.369500
     3667366    11.401755    3.376752
     3667552     7.381991    3.378873
     3668293     6.860921    3.384343
     3668346     6.514602    3.384706
     3669124     6.533597    3.389775
     3671138     7.207116    3.402933
     3671899     7.187201    3.408418
     3673362     7.057820    3.418933
     3673381     6.276670    3.419067
     3675711     1.192567    3.433692
     3677010     1.191534    3.435241
     3677894     1.175468    3.436294
     3678164     1.169681    3.436612
     3678316     1.166124    3.436789
     3678741     1.167064    3.437285
     3679067     0.603096    3.437665
     3953330     0.809218    3.603072
     3953718     0.755017    3.603386
     3953950     0.513585    3.603561
     3954674     0.460455    3.603933
     3954972     0.418401    3.604071
     3955657     0.406099    3.604357
     3956166     0.394573    3.604564
     3956446     0.384225    3.604674
     3956940     0.389820    3.604864
     3958598     0.366143    3.605510
     3959785     1.245030    3.605945
     3960580     2.515796    3.606935
     3962033     1.613863    3.610590
     3962928     0.004648    3.612035
     3963094     0.004458    3.612035
     3965476     0.004270    3.612046
     3965741     0.004206    3.612047
     3967049     0.004206    3.612053
     3967235     0.004206    3.612054
     3967591     0.004206    3.612055
     3968454     0.004206    3.612059
     3968606     0.004205    3.612059
     3969553     2.385723    3.612063
     3969618     2.484755    3.612218
     3969809     0.007330    3.612693
     3969879     0.001785    3.612693
     3969941     0.001449    3.612694
     3970116     0.001449    3.612694
     3970675     0.001446    3.612695
     3970988     0.001438    3.612695
     3971619     0.001439    3.612696
     3971639     0.001434    3.612696
     3973743     0.001434    3.612699
     3973860     0.001434    3.612699
     3975508     0.001434    3.612702
     3975551     0.001433    3.612702
     3975814     0.001433    3.612702
     3975980     0.001433    3.612702
     3977020     0.001433    3.612704
     3977497     0.001433    3.612704
     3978015     0.001433    3.612705
     3978054     0.001433    3.612705
     3978224     0.001433    3.612705
     3978551     0.001433    3.612706
     3979108     0.001433    3.612707
     3979424     0.001433    3.612707
     3979452     0.001433    3.612707
     3979633     0.001433    3.612707
     3979702     0.001433    3.612708
     3980002     0.001433    3.612708
     3981019     0.001433    3.612709
     3981050     0.001436    3.612709
     3981361     0.001443    3.612710
     3981621     0.005607    3.612710
     3981736     0.200176    3.612711
     3982130     0.875261    3.612790
     3982274     2.613717    3.612916
     3982775     0.240822    3.614225
     3982858     0.161158    3.614245
     3983129     0.161536    3.614289
     3983750     0.161862    3.614389
     3983866     0.162078    3.614408
     3986656     0.162001    3.614860
     3987755     0.161881    3.615038
     3988673     0.161801    3.615187
     3988954     0.161793    3.615232
     3990022     0.161768    3.615405
     3990878     0.161821    3.615544
     3992026     0.161676    3.615729
     3992371     0.297635    3.615785
     3993211     0.299619    3.616035
     3993511     0.261194    3.616125
     3993868     0.690422    3.616218
     3994508     0.197944    3.616660
     3994957     0.134107    3.616749
     3995005     0.134107    3.616756
     3995232     0.103279    3.616786
     3998041     0.103423    3.617076
     3999958     0.430947    3.617274
     3999969     0.750292    3.617279
     4000253     0.754060    3.617492
     4000632     0.843366    3.617778
     4000769     1.221537    3.617893
     4002041     1.252168    3.619447
     4002537     1.332143    3.620068
     4002549     1.441641    3.620084
     4002894     2.079220    3.620582
     4004014     2.118892    3.622910
     4004526     1.813525    3.623995
     4004830    42.329819    3.624547
     4005044     0.534833    3.633605
     4006880     0.536835    3.634587
     4007024     4.325246    3.634664
     4007152     0.355089    3.635218
     4008263     0.249025    3.635613
     4008768     0.163615    3.635738
     4009244     0.143604    3.635816
     4009487     0.140176    3.635851
     4011673     0.140202    3.636158
     4012539     0.140139    3.636279
     4012697     0.139972    3.636301
     4013605     0.139671    3.636428
     4014261     0.139586    3.636520
     4014287     0.139586    3.636523
     4016482     0.145206    3.636830
     4017974     0.212196    3.637047
     4018613     0.307763    3.637182
     4020730     0.320012    3.637834
     4022207     0.330593    3.638306
     4023251     0.336867    3.638651
     4023644     0.503845    3.638784
     4025838     0.618104    3.639889
     4026151     1.051567    3.640083
     4026871     0.940017    3.640840
     4026965     0.937861    3.640928
     4027719     0.829416    3.641635
     4029573     0.829405    3.643173
     4029700     0.839432    3.643278
     4030349     1.307195    3.643823
     4031938     1.174728    3.645900
     4032471     0.955467    3.646526
     4032985     0.932495    3.647018
     4034173     0.788223    3.648125
     4037463     0.399792    3.650719
     4038438     0.695883    3.651108
     4041291     0.636111    3.653094
     4042692     0.200188    3.653985
     4043978     0.202249    3.654242
     4044021     0.205613    3.654251
     4044939     0.254380    3.654440
     4045114     0.330914    3.654484
     4045545     0.556805    3.654627
     4045565     1.193226    3.654638
     4046131     0.566003    3.655314
     4046576     0.556945    3.655565
     4047293     0.558553    3.655965
     4048447     0.562542    3.656609
     4049449     0.576488    3.657173
     4049586     0.832700    3.657252
     4050185     5.048047    3.657751
     4050459     2.535603    3.659134
     4050477     0.567471    3.659180
     4051299     0.567682    3.659646
     4052543     0.196594    3.660352
     4052726     5.450170    3.660388
     4052872     0.170035    3.661184
     4053502     0.086131    3.661291
     4055996     0.190846    3.661506
     4058230     0.190903    3.661932
     4058385     0.155777    3.661962
     4058421     0.109717    3.661967
     4059366     0.086802    3.662071
     4060602     0.089093    3.662178
     4065103     0.140464    3.662579
     4065592     0.272948    3.662648
     4066743     0.273053    3.662962
     4071126     0.141732    3.664159
     4076054     0.176604    3.664857
     4076131     0.225976    3.664871
     4076258     0.258847    3.664900
     4076367     0.296036    3.664928
     4077159     0.296112    3.665162
     4077378     0.225422    3.665227
     4077884     0.167476    3.665341
     4078768     0.157904    3.665489
     4080092     0.157849    3.665698
     4080591     0.473109    3.665777
     4083179     0.149669    3.667002
     4083547     0.138456    3.667057
     4084194     0.138466    3.667146
     4084888     0.137681    3.667242
     4086214     0.137701    3.667425
     4086798     0.137899    3.667505
     4086873     0.138094    3.667516
     4087932     0.138532    3.667662
     4087941     0.138924    3.667663
     4088545     0.139457    3.667747
     4089982     0.139550    3.667948
     4091979     0.137387    3.668226
     4093666     0.137387    3.668458
     4094050     0.136370    3.668511
     4094345     0.135440    3.668551
     4096783     0.136204    3.668881
     4098502     0.149002    3.669115
     4098633     0.163219    3.669135
     4099701     0.163219    3.669309
     4104242     0.335846    3.670050
     4104323     0.449387    3.670077
     4104566     0.559577    3.670187
     4105593     0.469528    3.670761
     4106853     0.215117    3.671353
     4106910     0.049452    3.671365
     4107292     0.046046    3.671384
     4110187     0.052169    3.671517
     4112317     0.074163    3.671629
     4112470     0.094749    3.671640
     4112813     0.114618    3.671672
     4114398     0.118424    3.671854
     4114692     0.121866    3.671889
     4114891     0.126008    3.671913
     4115452     0.123805    3.671984
     4116652     0.124580    3.672132
     4117411     0.123400    3.672227
     4117661     0.122184    3.672258
     4117752     0.121595    3.672269
     4118678     0.123128    3.672382
     4118862     0.127861    3.672404
     4119642     0.154190    3.672504
     4119808     0.214906    3.672530
     4119860     0.301465    3.672541
     4120689     0.477740    3.672791
     4121187     0.489805    3.673029
     4121309     0.504272    3.673088
     4121573     0.544025    3.673221
     4122030     0.572016    3.673470
     4122612     0.537677    3.673803
     4122844     0.493882    3.673928
     4123007     0.415208    3.674008
     4123357     0.248366    3.674153
