Position(bp)  Rate(cM/Mb)    Map(cM)
      816304    12.720384   5.690627
      817313    12.720384   5.703462
      817434    12.718232   5.705001
      817517    12.710318   5.706057
      817580    12.694825   5.706857
      817642    12.684313   5.707644
      817832    12.680617   5.710055
      817976    12.673358   5.711881
      818949    12.678290   5.724212
      822239    12.676058   5.765923
      825904    12.671768   5.812381
      827550    12.669252   5.833239
      828388    12.659788   5.843856
      830501    12.500891   5.870606
      835199    11.209521   5.929335
      835295     9.949578   5.930411
      835551     9.003458   5.932958
      835632     8.401984   5.933687
      835667     7.961088   5.933981
      836108     7.405032   5.937492
      836207     7.402917   5.938225
      838354     9.144752   5.954119
      838716    12.877686   5.957430
      841383    12.877259   5.991775
      846074    12.689849   6.052182
      846113    12.525022   6.052677
      847321    11.370690   6.067807
      847848     0.497985   6.073799
      849078     0.498303   6.074412
      849245     0.481487   6.074495
      850273     0.475236   6.074990
      850332     0.462973   6.075018
      850478     0.455030   6.075086
      850676     0.447047   6.075176
      851126     0.537556   6.075377
      851541     0.478345   6.075600
      851698     0.392959   6.075675
      852190     0.397357   6.075868
      852379     0.344393   6.075944
      852639     0.317247   6.076033
      852731     0.334963   6.076062
      855756     0.338905   6.077076
      856620     0.487703   6.077368
      857296     0.741393   6.077698
      857464     0.906985   6.077823
      857562     0.970329   6.077912
      858291     1.033379   6.078619
      858310     1.090459   6.078639
      859150     1.083184   6.079555
      859805     1.084896   6.080264
      864104     5.669420   6.084928
      867677     7.851072   6.105185
      871414     9.092612   6.134524
      872263    17.701863   6.142244
      875325     1.252194   6.196447
      875567     1.144159   6.196750
      875913     1.154703   6.197146
      875989     1.186930   6.197234
      876060     2.492372   6.197318
      876087     6.773318   6.197385
      876357     7.526705   6.199214
      876701     7.712656   6.201803
      878067     7.004359   6.212339
      880985    10.341927   6.232777
      881003    14.006398   6.232964
      881112    15.110029   6.234490
      881166    15.293324   6.235306
      883640    15.418341   6.273142
      892615    15.418341   6.411522
      897662    15.421005   6.489338
      897758    15.426511   6.490818
      898089    15.431995   6.495924
      898172    15.431995   6.497205
      898402    15.435183   6.500755
      899381    15.442452   6.515866
      901532    15.440770   6.549082
      901655    15.440770   6.550982
      901834    15.435629   6.553746
      901895    15.432374   6.554687
      901914    15.430415   6.554980
      902733    13.268159   6.567618
      902756     6.591923   6.567923
      904290     1.958447   6.578035
      904452     1.932066   6.578352
      907060     1.197798   6.583391
      907394     1.185468   6.583791
      908699     1.190836   6.585338
      908787     1.192280   6.585443
      910121     1.186331   6.587034
      911325     1.187248   6.588462
      913175     1.187503   6.590658
      920087     6.260390   6.598866
      920429    19.645175   6.601007
      920485    24.311468   6.602107
      920816    24.385284   6.610155
      921292    24.385284   6.621762
      921922    24.385284   6.637125
      923226    20.365969   6.668923
      923260    16.359157   6.669616
      923520    16.230617   6.673869
      924972    16.230617   6.697436
      924992    18.528397   6.697760
      925521    20.937194   6.707562
      925602    30.730965   6.709258
      926211    30.735174   6.727973
      926340    30.745596   6.731938
      927212    30.745596   6.758748
      927508    30.745596   6.767849
      927580    30.745596   6.770062
      927665    29.859341   6.772676
      927839    18.727173   6.777871
      929189    18.712243   6.803153
      929611    18.311143   6.811050
      929944    17.832753   6.817147
      929996    17.223141   6.818074
      930358    16.251859   6.824309
      930802     6.065457   6.831525
      931093     2.807767   6.833290
      933207     2.802415   6.839226
      933456     2.796735   6.839924
      933592     2.762576   6.840304
      934198     2.066624   6.841978
      934393     1.616108   6.842381
      940716     2.154615   6.852600
      941303     2.492431   6.853864
      942617     2.540193   6.857139
      944098     2.524916   6.860901
      944168     2.497864   6.861078
      944608     2.498912   6.862177
      944859     2.500289   6.862804
      945374     2.572384   6.864092
      947239     4.747784   6.868890
      949989     4.875211   6.881946
      950976     4.892954   6.886758
      954768     4.993213   6.905312
      954917     5.103718   6.906056
      958808     5.261419   6.925915
      963754     5.213396   6.951937
      963978     5.040498   6.953105
      966454     4.686329   6.965586
      967359     4.344061   6.969827
      968159     4.179803   6.973302
      970065     4.327975   6.981269
      971811     4.087060   6.988825
      973778     4.555063   6.996865
      973865     4.620576   6.997261
      974942     4.909506   7.002237
      975535     6.045641   7.005149
      976171     8.467642   7.008994
      976217    11.386218   7.009383
      979904    11.087212   7.051364
      980326    11.052752   7.056043
      980336    11.039980   7.056153
      981280    11.076058   7.066575
      985100    11.075954   7.108886
      987444    11.054075   7.134848
      990180    10.980695   7.165092
      990352    10.853016   7.166980
      990360    10.688342   7.167067
      990845     9.479196   7.172251
      995079     9.469714   7.212386
      995759     9.477716   7.218825
      995974     9.536570   7.220863
      996315     9.715146   7.224115
     1000937     9.722818   7.269018
     1003315    10.297355   7.292139
     1006947     5.567385   7.329539
     1007191     4.167340   7.330898
     1008293     4.119450   7.335490
     1009976     4.560109   7.342423
     1012059     6.696155   7.351922
     1015828     9.541281   7.377160
     1018990    12.668539   7.407329
     1020245    12.793132   7.423228
     1021308    12.968286   7.436827
     1021359    13.089059   7.437489
     1021508    13.230846   7.439439
     1022950    13.236493   7.458518
     1023287    13.236493   7.462979
     1024551    13.236493   7.479709
     1026155    13.236493   7.500941
     1029640    13.236493   7.547070
     1029697    13.236493   7.547824
     1029793    15.509897   7.549095
     1459643    13.228068  14.216025
     1460177    13.157581  14.223088
     1460740    13.219372  14.230496
     1460992    13.210601  14.233827
     1463771    13.214341  14.270540
     1471138     4.472911  14.367890
     1473247     4.451807  14.377323
     1475890     4.262854  14.389089
     1478468     5.736494  14.400079
     1482019     4.985710  14.420449
     1499835     1.205745  14.509275
     1502582     1.031933  14.512587
     1506681     1.245595  14.516817
     1508067     1.506374  14.518543
     1508324     1.688776  14.518930
     1508465     1.712901  14.519168
     1510188     3.595152  14.522120
     1512276     3.619162  14.529626
     1514233     3.294660  14.536709
     1516222     3.287116  14.543262
     1516746     3.234514  14.544984
     1517701     3.216639  14.548073
     1519874     2.804168  14.555063
     1520130     2.226245  14.555781
     1522909     2.220079  14.561968
     1531648     2.119496  14.581369
     1531838     1.759640  14.581772
     1532337     1.240248  14.582650
     1533596     1.161230  14.584211
     1534320     1.123642  14.585052
     1537415     1.206213  14.588530
     1537881     1.243577  14.589092
     1538314     1.392085  14.589630
     1539703     1.060565  14.591564
     1539832     0.807006  14.591701
     1540786     0.676939  14.592471
     1541443     0.631217  14.592915
     1541524     0.587086  14.592966
     1544272     1.574297  14.594580
     1544839     1.535008  14.595472
     1546198     3.645891  14.597558
     1547636     3.645442  14.602801
     1550760     7.655791  14.614190
     1550779    10.944022  14.614335
     1550970    10.948852  14.616425
     1554997    10.943948  14.660516
     1560998    10.943175  14.726191
     1561691    10.941592  14.733775
     1563658    10.941592  14.755297
     1568112    10.941918  14.804031
     1574941    10.928885  14.878753
     1574997    10.886214  14.879365
     1575023    10.852335  14.879648
     1583443    10.897986  14.971025
     1583540    10.919701  14.972082
     1588946     5.639804  15.031114
     1590657     0.050277  15.040763
     1591207     0.030003  15.040791
     1594252     0.029995  15.040882
     1594702     0.030081  15.040896
     1597268     1.437270  15.040973
     1597749     1.735890  15.041664
     1598598     2.679235  15.043138
     1599835     1.891515  15.046452
     1603094     1.890274  15.052617
     1607771     1.787161  15.061458
     1608013     1.627509  15.061890
     1610876     4.611075  15.066550
     1611253     4.715496  15.068288
     1611772     6.523391  15.070735
     1612441     6.664369  15.075100
     1612690     6.666978  15.076759
     1613203     6.667919  15.080179
     1613590     5.540688  15.082760
     1614019     5.196338  15.085137
     1614248     5.179964  15.086327
     1615115     5.213073  15.090818
     1615387     5.226956  15.092236
     1615496     5.236331  15.092805
     1616646     6.157123  15.098827
     1623417     8.384532  15.140517
     1624307     8.804604  15.147979
     1624419     9.217008  15.148965
     1626057     9.303359  15.164063
     1626168     9.021713  15.165095
     1626244     8.683211  15.165781
     1626325     7.893579  15.166484
     1626941     7.894695  15.171347
     1630429     7.634042  15.198884
     1632939     4.885885  15.218045
     1634226     4.507690  15.224333
     1637450     1.620742  15.238866
     1639007     1.612934  15.241389
     1639459     1.586072  15.242118
     1640371     1.522248  15.243565
     1642257     1.485078  15.246436
     1642651     1.471009  15.247021
     1644252     1.446688  15.249376
     1644843     1.396384  15.250231
     1648783     1.272541  15.255733
     1656409     3.904317  15.265437
     1660094     3.689754  15.279825
     1660118     3.503775  15.279913
     1660295     3.501191  15.280533
     1664304     3.494337  15.294570
     1664497     3.482695  15.295244
     1664766     3.472673  15.296181
     1664813     3.438613  15.296344
     1666384     5.480701  15.301746
     1670153     5.511063  15.322403
     1670279     5.566266  15.323097
     1670285     5.598377  15.323131
     1671468     5.965385  15.329754
     1671487     6.316568  15.329867
     1671917     6.369474  15.332583
     1672041     6.368346  15.333373
     1674721     7.399034  15.350440
     1674744     8.629253  15.350610
     1675250     9.406049  15.354977
     1678713    10.132785  15.387550
     1681017    10.138290  15.410896
     1681102    10.137831  15.411758
     1684374     9.990062  15.444929
     1685639     9.917574  15.457566
     1688679     7.246007  15.487715
     1689795     7.245382  15.495802
     1690113     5.924280  15.498106
     1694861     5.827642  15.526234
     1698220     5.777622  15.545809
     1702312     5.732804  15.569452
     1703566     5.715359  15.576640
     1704677     5.690674  15.582990
     1711165     5.693088  15.619911
     1713021     5.663940  15.630478
     1714881     5.663330  15.641013
     1714968     5.664965  15.641505
     1717271     5.672061  15.654552
     1720821     8.872177  15.674688
     1721342    10.080171  15.679310
     1723806    10.912340  15.704147
     1725002    11.820080  15.717199
     1732824    11.869089  15.809655
     1733783    11.885044  15.821038
     1734143    11.901817  15.825316
     1735253    11.902380  15.838527
     1736866    11.907322  15.857726
     1743145    11.913336  15.932492
     1748274    11.918691  15.993596
     1748581    11.919875  15.997255
     1750310    11.921035  16.017864
     1752017    11.921035  16.038213
     1753118    11.920066  16.051338
     1753143    11.916911  16.051636
     1755404    11.914317  16.078580
     1755666    11.832999  16.081702
     1760863     8.119605  16.143198
     1761346     5.690482  16.147120
     1762558     5.316232  16.154017
     1762889     4.610817  16.155776
     1763574     4.617799  16.158935
     1764899     4.337984  16.165053
     1765205     4.120812  16.166381
     1765295     4.073697  16.166752
     1765335     4.056055  16.166915
     1765403     4.053800  16.167190
     1765442     4.055465  16.167349
     1766346     3.758693  16.171015
     1766576     3.801729  16.171879
     1767610     4.106651  16.175810
     1767629     4.416394  16.175888
     1768577     5.646755  16.180075
     1769269     6.067537  16.183982
     1774341    13.696271  16.214757
     1779352     6.843427  16.283389
     1780762     5.947321  16.293038
     1780904     5.149390  16.293883
     1785243     5.812034  16.316226
     1786584     5.931561  16.324020
     1789199     7.007881  16.339531
     1789808     7.134478  16.343799
     1792893     7.134124  16.365809
     1795890     7.135097  16.387190
     1797545     7.165182  16.398998
     1799396     7.171077  16.412261
     1803136     7.184759  16.439081
     1804441     7.204729  16.448457
     1804523     7.204729  16.449048
     1805528     7.233589  16.456288
     1805618     7.233589  16.456939
     1812114     7.232025  16.503929
     1812785     7.193300  16.508782
     1813685     6.960708  16.515255
     1814274     5.722671  16.519355
     1814379     2.205416  16.519956
     1818646     2.448482  16.529367
     1819958     2.492089  16.532579
     1829124     6.482442  16.555422
     1829559    10.715117  16.558242
     1830090    11.270043  16.563931
     1831121    11.920891  16.575551
     1833050    12.821593  16.598546
     1833138    13.416367  16.599674
     1833290    13.898340  16.601714
     1835718     7.309721  16.635459
     1836246     5.067240  16.639318
     1837219     4.818332  16.644249
     1838116     4.774315  16.648571
     1839529     4.748590  16.655317
     1842180     4.729694  16.667905
     1844738     4.727184  16.680004
     1849572     4.729869  16.702855
     1850595     4.739897  16.707694
     1850753     4.748760  16.708443
     1851665     4.759134  16.712774
     1852440    13.820590  16.716462
     1856145    14.801485  16.767667
     1856183    15.477259  16.768230
     1857146    11.423599  16.783134
     1857269     3.870772  16.784539
     1860872     3.829212  16.798486
     1861308     3.682967  16.800155
     1862133     2.583894  16.803194
     1863019     2.493893  16.805483
     1863246     2.450729  16.806049
     1864683     2.389342  16.809571
     1867483     1.814859  16.816261
     1867583     1.365264  16.816443
     1869262     1.353298  16.818735
     1870312     1.346269  16.820156
     1870949     1.342941  16.821013
     1871457     1.340323  16.821696
     1872326     1.338183  16.822860
     1872506     1.337296  16.823101
     1873436     1.330164  16.824345
     1874036     1.320479  16.825143
     1874313     1.308622  16.825509
     1875443     1.310712  16.826987
     1876640     1.323779  16.828556
     1877005     1.332928  16.829040
     1877389     1.332406  16.829551
     1878306     1.334890  16.830773
     1881148     5.839271  16.834567
     1882034     5.839271  16.839741
     1884419     5.838663  16.853667
     1884579    10.446361  16.854601
     1884595    15.291065  16.854769
     1885709    15.294123  16.871803
     1885889    15.603912  16.874556
     1886889    15.603912  16.890160
     1887221    15.603912  16.895340
     1890603    13.068169  16.948113
     1891047     9.994729  16.953915
     1892006     6.512757  16.963500
     1893048     6.468890  16.970286
     1893215     6.443999  16.971366
     1896021     6.437458  16.989448
     1897254     6.423139  16.997386
     1897487     6.414177  16.998882
     1897612     6.437208  16.999684
     1897620     6.498017  16.999736
     1898102     9.069527  17.002868
     1898448    10.676266  17.006006
     1898866    23.296860  17.010468
     1899032    23.336013  17.014336
     1899125    23.336013  17.016506
     1900406    23.336013  17.046399
     1901503    10.559059  17.071999
     1902799     7.562046  17.085683
     1902907     5.458337  17.086500
     1904088     4.694855  17.092946
     1904684     4.429361  17.095745
     1910400     4.429472  17.121063
     1919902     1.431467  17.163152
     1922521     1.482094  17.166901
     1922771     1.538189  17.167271
     1926327     1.548293  17.172741
     1942416     1.529860  17.197651
     1944449     1.529712  17.200762
     1946364     1.530598  17.203691
     1946415     1.532122  17.203769
     1946681     1.533140  17.204177
     1947830     1.533260  17.205938
     1950375     1.644466  17.209840
     1950457     1.793146  17.209975
     1950752     1.880538  17.210504
     1952578     1.874745  17.213938
     1952600     1.872250  17.213979
     1953828     1.854759  17.216278
     1954917     1.753308  17.218298
     1957029     1.380699  17.222001
     1957876     1.277333  17.223171
     1957900     1.170639  17.223201
     1959947     3.592759  17.225598
     1959974     7.007186  17.225695
     1961647     9.538381  17.237418
     1964074     9.540293  17.260567
     1964187     9.539955  17.261645
     1964335     9.538786  17.263057
     1964506     9.529788  17.264688
     1967210     1.001275  17.290457
     1969840     1.006983  17.293090
     1970781     6.676927  17.294038
     1977379     9.035114  17.338092
     1979521    15.441639  17.357445
     1979769    16.710922  17.361275
     1979915    16.822312  17.363715
     1980121    16.993718  17.367180
     1982328    16.993718  17.404685
     1982608    16.993718  17.409444
     1983125    16.993718  17.418229
     1983505    16.993689  17.424687
     1983792    16.993689  17.429564
     1984055    16.993689  17.434033
     1985473    16.993689  17.458131
     1985554    16.983653  17.459507
     1986252    16.797192  17.471362
     1986273    16.270710  17.471714
     1986325    11.182788  17.472560
     1988777    11.189043  17.499981
     1990357    11.189043  17.517659
     1990404    15.262733  17.518185
     1991050    15.262733  17.528045
     1991067    17.093505  17.528304
     1991529    17.093505  17.536202
     1996632     9.171138  17.623430
     1996915     7.018732  17.626025
     1997200     6.766074  17.628025
     1998498     6.830729  17.636808
     1999475     6.800002  17.643481
     1999621     5.295671  17.644474
     2000601     4.401532  17.649664
     2000771     4.402706  17.650412
     2001977     4.076862  17.655722
     2002717     3.987691  17.658739
     2004163     3.987691  17.664505
     2005339     4.025488  17.669195
     2005813     4.380538  17.671103
     2009720     4.065670  17.688217
     2011557     4.195609  17.695686
     2012446     4.214708  17.699416
     2012500     4.264605  17.699644
     2013886     4.234813  17.705554
     2016718     4.211353  17.717547
     2017562     4.197467  17.721102
     2019193     4.189345  17.727948
     2019852     4.136114  17.730709
     2019854     4.083309  17.730717
     2019962     4.029444  17.731158
     2022358     4.022104  17.740812
     2022499     4.007379  17.741379
     2023101     4.082776  17.743792
     2023168     4.940254  17.744065
     2024744     5.557362  17.751851
     2027174     7.778258  17.765356
     2030940     8.471045  17.794649
     2034752     8.425606  17.826940
     2038794     9.380419  17.860996
     2044767     8.307367  17.917026
     2046202     8.362950  17.928947
     2046600     8.373436  17.932275
     2051182     8.438968  17.970642
     2054290     3.656220  17.996871
     2055410     3.727254  18.000966
     2055888     4.592672  18.002747
     2057013     6.658238  18.007914
     2057870     7.474869  18.013620
     2058584     7.496331  18.018957
     2058653     7.396187  18.019474
     2060692     6.548556  18.034555
     2061045     5.928850  18.036867
     2061165     5.083914  18.037578
     2062722     5.140036  18.045494
     2062772     5.133872  18.045751
     2063606     4.587098  18.050033
     2063700     3.043800  18.050464
     2282259     1.581860  18.715714
     2296571     0.637665  18.738353
     2297391     0.542412  18.738876
     2303627     0.536078  18.742259
     2320028     6.491218  18.751051
     2320453     6.901245  18.753810
     2323009     6.897842  18.771449
     2323044     3.187870  18.771691
     2325651     3.181392  18.780001
     2326722     3.173379  18.783409
     2326782     3.165639  18.783599
     2328760     4.494986  18.789861
     2330049     4.480320  18.795655
     2330125     4.465100  18.795995
